Cust_ID	name	birth_year	education_level	dependents	City
193	Mr Kevin Davenport	2003	high school	0	London
195	Miss Melinda Escobar	2003	Master	0	nan
197	Miss Amy Rodriguez	1969	high school	0	Birmingham
198	Mr Stephen Bryan	1991	high school	0	nan
202	Miss Nicole Johnson	1999	PhD	0	London
203	Miss Crystal Smith	2006	high school	1	Birmingham
204	Mr David Sharp	2004	PhD	0	London
206	Miss Kayla Wilson	1994	Bachelor	0	nan
207	Mr Jack Johnson	1997	Bachelor	1	nan
208	Mr Benjamin Padilla	1995	Bachelor	1	nan
209	Miss Ashley Kaiser	2002	high school	0	nan
210	Mr Michael Jimenez	1995	less than high school	0	nan
211	Mr Mark Savage	2002	Bachelor	0	Birmingham
212	Miss Lisa Barton	2001	high school	1	London
213	Mr James Hahn	2001	high school	1	nan
215	Miss Marissa Munoz	1996	Bachelor	0	nan
216	Miss Melissa Anthony	2006	PhD	0	nan
217	Mr Charles Sullivan	1998	Master	1	nan
218	Miss Tonya Bell	1961	high school	1	nan
219	Mr Anthony Avila	1998	Master	0	nan
220	Miss Ashley Hall	1993	high school	1	nan
221	Miss Kristina Johnson	1959	Master	0	Birmingham
222	Mr Gregory Ellison	2003	PhD	0	Birmingham
224	Mr Charles Hall	2001	Master	1	Birmingham
225	Miss Brittany Perez	2003	high school	0	London
226	Mr James Rodriguez	2000	Master	1	Birmingham
228	Miss Melissa Nelson	1984	Master	0	London
229	Miss Karen Scott	1998	high school	0	London
235	Miss Stephanie West	1992	high school	1	nan
236	Miss Kelly Oconnor	1998	high school	0	nan
237	Miss Amy Rhodes	1975	high school	1	Brimingham
238	Mr David Kelly	1993	Master	1	London
239	Miss Julie Whitney	1965	PhD	0	nan
242	Miss Mary Harris	1994	Bachelor	0	Birmingham
244	Miss Bethany Rice	1963	Bachelor	0	London
245	Mr Joshua Butler	1979	high school	0	nan
246	Miss Erica Gutierrez	2003	Bachelor	0	nan
247	Miss Abigail Reynolds	2001	Master	0	Birmingham
248	Miss Stephanie Carter	2001	Master	0	nan
249	Miss Kimberly Russell	2001	high school	0	nan
251	Mr Collin Jackson	1992	PhD	0	London
252	Mr Timothy Rogers	1965	Bachelor	2	Birmingham
254	Mr Anthony Simmons	1972	less than high school	1	Birmingham
256	Miss Sheryl Sanders	1992	Master	0	Birmingham
257	Mr Andrew Maddox	2002	less than high school	0	nan
261	Mr Steven Warren	1990	high school	0	Birmingham
263	Mr Albert Brown	2004	high school	0	Birmingham
264	Mr Jacob Kramer	2003	high school	0	Birmingham
265	Miss Kari Reyes	2002	Master	0	nan
267	Mr Daniel Saunders	1994	Bachelor	0	nan
269	Miss Samantha Jacobs	1998	High School	0	nan
270	Miss Crystal Neal	1978	less than high school	0	Birmingham
275	Miss Debbie Wheeler	1973	less than high school	1	nan
276	Mr Adam Riddle	1976	high school	1	Birmingham
279	Mr Alexander Wilson	1996	high school	0	London
280	Miss Robin Mann	2000	Bachelor	0	Birmingham
283	Miss Jennifer Andrews	1992	less than high school	1	nan
284	Mr John Wright	1966	high school	0	nan
285	Miss Lisa Ward	1961	less than high school	0	Birmingham
288	Miss Katherine Bernard	2003	high school	0	nan
289	Miss Maureen Booth	1995	Bachelor	0	nan
290	Mr Michael Thompson	1953	Bachelor	2	nan
294	Miss Danielle Espinoza	1968	Bachelor	0	London
296	Miss Hannah Hughes	2006	PhD	0	nan
297	Miss Andrea Bryant	1989	high school	0	Birmingham
298	Miss Jennifer Welch	1990	less than high school	2	nan
299	Mr Jared Reilly	1967	high school	0	nan
301	Mr Gregory Morales	1969	less than high school	0	Birmingham
303	Miss Lisa Johnson	1998	high school	0	Birmingham
304	Miss Kelly Williams	2005	high school	0	nan
305	Miss Victoria Hebert	2002	Master	0	London
307	Miss Ann Smith	1997	Bachelor	0	nan
308	Miss Emily Carpenter	1992	Bachelor	0	nan
309	Miss Courtney Lee	2003	high school	0	Birmingham
310	Miss Kathleen Andrade	2004	Master	0	nan
313	Miss Andrea Watson	1992	Master	0	London
314	Miss Rebecca Miller	1959	high school	0	Birmingham
315	Mr Andrew Roberts	1958	Master	1	London
317	Mr Dale Hendricks	1996	Bachelor	1	London
318	Miss Stephanie Williams	1960	high school	1	London
319	Miss Emily Butler	1953	Master	1	Birmingham
320	Miss Theresa Willis	1954	high school	0	nan
322	Miss Michelle Campbell	1994	high school	0	Birmingham
326	Miss Kathy Merritt	1991	Bachelor	0	nan
327	Miss Amanda Jenkins	1999	High School	0	nan
328	Miss Ann Johnson	1998	Bachelor	0	nan
332	Mr John Thornton	1967	high school	0	London
333	Miss Catherine Casey	1970	PhD	0	Birmingham
334	Mr Corey Kramer	1991	Master	0	Birmingham
335	Mr James Mcintyre	1968	Master	0	London
336	Miss Samantha Carroll	2003	high school	1	nan
337	Miss Melissa Cherry	2004	high school	0	Birmingham
339	Mr Tyler Lara	2002	PHD	1	Birmingham
340	Miss Barbara Ware	1988	less than high school	2	nan
343	Miss Jasmine Salinas	1988	high school	0	nan
344	Miss Karen Fisher	2002	Bachelor	0	nan
347	Mr Cameron Roy	1986	high school	0	London
348	Miss Kristie Delgado	1999	high school	0	nan
349	Miss Michelle Brooks	1998	less than high school	0	nan
351	Miss Caroline Payne	1999	high school	0	nan
352	Mr Noah Alexander	1965	high school	0	Birmingham
353	Miss Pamela Lopez	1991	Master	0	nan
354	Miss Renee Lee	1987	high school	0	nan
355	Miss Julia Ali	2003	PhD	0	Birmingham
357	Miss Rachael Ray	1998	Master	0	nan
358	Mr Russell Stewart	1987	Bachelor	0	nan
360	Miss Debra Collins	1999	high school	0	Birmingham
362	Mr Robert Gardner	1995	Master	0	nan
364	Mr Kevin Johnson	1953	Master	0	nan
365	Mr Dustin Stafford	1952	Bachelor	0	nan
366	Miss Maria Thompson	1998	high school	0	Birmingham
368	Mr Mark Jenkins	2004	Bachelor	0	Birmingham
369	Mr Albert Gilbert	1963	Bachelor	0	Birmingham
370	Mr Larry Atkinson	1957	high school	0	nan
374	Mr Daniel Harris	2003	high school	0	Birmingham
375	Miss Kathleen Gibbs	1998	Bachelor	0	London
378	Miss Donna Smith	2004	Bachelor	1	nan
379	Mr John Scott	2002	PhD	1	nan
380	Mr Nicholas Smith	1953	Master	0	nan
381	Miss Erin Navarro	1964	Bachelor	1	nan
382	Mr Dustin Jackson	1970	high school	0	nan
383	Miss Ellen Curtis	2000	high school	0	Birmingham
384	Miss Katherine Henderson	1991	less than high school	1	nan
385	Miss Sheryl Martin	1999	PhD	1	nan
386	Miss Bethany Burns	1993	high school	0	London
387	Miss Elizabeth Wilson	1968	high school	0	Birmingham
388	Miss Elizabeth Brown	1995	high school	0	Birmingham
392	Mr Charles Guzman	1993	Bachelor	2	nan
393	Mr Mark Mcmahon	2000	high school	0	London
395	Miss Emily Wilson	2006	Master	1	Brimingham
396	Miss Holly Cook	1986	PhD	1	Birmingham
397	Mr Adam Dawson	1999	Bachelor	0	Birmingham
398	Miss Jacqueline Davenport	1995	high school	0	nan
399	Miss Alexandra Williamson	2004	Bachelor	0	London
403	Mr Jesse Jones	1996	high school	0	Birmingham
404	Miss Kimberly Hall	1985	high school	1	Birmingham
405	Mr Christopher Jefferson	1994	Master	0	nan
406	Miss Jenny Smith	1984	PhD	2	nan
409	Mr James Hess	1987	Bachelor	0	nan
410	Miss Christy Scott	1960	Master	0	nan
411	Mr Jesse Riddle	2004	Bachelor	0	nan
412	Mr Stephen Nelson	1986	Master	0	nan
415	Miss Amy Barrett	1958	high school	0	Birmingham
417	Mr Joseph Saunders	2002	high school	0	London
418	Mr Alan Sanchez	1974	Bachelor	0	nan
419	Miss Mallory Collins	2002	high school	0	nan
420	Mr Kenneth Brewer	1991	Bachelor	0	nan
421	Miss Renee Swanson	1970	high school	0	London
423	Miss Margaret Miller	2003	Master	0	Birmingham
425	Miss Tracy Roth	2001	high school	1	nan
426	Mr Andrew Allen	1989	less than high school	0	Birmingham
427	Mr William Forbes	1969	high school	0	Birmingham
428	Mr Harold Rodriguez	1996	Master	0	nan
429	Mr Phillip Morris	1989	Bachelor	0	nan
431	Mr Robert Garrison	2001	Bachelor	2	Birmingham
433	Mr Kevin Gregory	1963	Bachelor	0	nan
437	Mr Ryan Thompson	1990	high school	0	nan
439	Mr Jesse Macias	2001	Bachelor	0	nan
440	Mr Peter Garner	1999	Bachelor	0	Birmingham
444	Mr David Barrett	1992	high school	1	nan
445	Miss Pamela Taylor	1968	high school	1	nan
446	Miss Natasha Baker	1989	Master	0	nan
447	Miss Yvonne Gomez	2000	PhD	0	nan
449	Miss Debra Jordan	1987	high school	0	London
451	Mr David Sexton	1951	Bachelor	0	Birmingham
452	Mr Steve Bowman	1959	less than high school	0	London
457	Mr Jesse Richardson	1995	PhD	1	nan
462	Mr Sean Ramirez	1999	Bachelor	0	Birmingham
463	Mr Brian Williams	2000	Bachelor	2	nan
465	Miss Kathleen Rogers	1999	high school	0	nan
466	Miss Debra Garcia	1993	less than high school	0	Birmingham
467	Miss Joy Scott	2005	Bachelor	0	nan
468	Mr Daniel Brown	1987	Master	0	nan
469	Miss Megan Buchanan	2004	high school	0	nan
470	Mr Christopher Young	1982	high school	0	Birmingham
471	Miss Michelle Hernandez	1987	high school	0	Birmingham
472	Miss Angel Lewis	2002	high school	0	Birmingham
474	Mr Rodney Mccall	1955	high school	0	nan
475	Miss Sylvia Torres	1986	Bachelor	0	nan
476	Mr Alexis Hernandez	1959	Bachelor	0	Birmingham
477	Mr David Lee	2000	PhD	0	nan
478	Miss Amber Hayes	1998	Master	1	London
483	Miss Sharon Ross	1975	high school	0	Birmingham
485	Miss Amy Best	2000	Bachelor	0	Birmingham
486	Miss Danielle Harper	1991	Bachelor	0	nan
487	Miss Jessica Watson	2004	Bachelor	0	nan
491	Miss Kimberly Moore	2001	Bachelor	0	nan
493	Miss Brenda Romero	2000	high school	0	Birmingham
494	Miss Linda Trujillo	2000	Master	0	nan
495	Mr William Fry	1992	Bachelor	0	London
497	Miss Stephanie Lopez	2001	high school	0	Birmingham
498	Mr Jason Tanner	2001	Bachelor	0	Birmingham
499	Mr Jason Meyer	1979	high school	0	nan
500	Mr William Edwards	2002	high school	1	Birmingham
501	Miss Teresa Matthews	2004	high school	0	nan
502	Miss Lisa Jennings	2003	Bachelor	0	nan
503	Miss Alicia Bowen	1992	high school	0	nan
506	Mr Marvin Gonzalez	1977	Master	0	nan
509	Miss Lisa Lewis	2006	high school	0	nan
510	Miss Kimberly Stewart	2006	Master	0	nan
511	Mr Jeffrey Knight	1970	Bachelor	0	London
512	Miss Jessica Middleton	2001	Bachelor	0	nan
513	Miss Alexa Davis	1997	Bachelor	0	nan
514	Mr Matthew Turner	1991	Bachelor	0	nan
517	Miss Victoria Aguilar	1950	Bachelor	0	Birmingham
518	Mr Brian Bush	1961	Bachelor	0	Birmingham
520	Miss Karen Garcia	2006	Master	1	nan
523	Mr Carlos Griffith	1958	Bachelor	0	London
524	Mr Bobby Hughes	1946	Bachelor	0	nan
525	Mr Daniel Figueroa	1996	Master	0	Birmingham
527	Mr Dean Ho	1954	high school	1	nan
528	Miss Brianna Nelson	1977	Bachelor	0	Birmingham
530	Miss Christina Smith	2004	Master	0	London
532	Miss Brenda Massey	2004	Bachelor	0	Birmingham
533	Miss Victoria Jefferson	2006	high school	0	London
535	Miss Laura Williams	2001	Master	0	nan
537	Miss Melissa Weber	1997	high school	0	nan
539	Miss Amy Morris	2000	Bachelor	0	Birmingham
540	Mr Randall Hendricks	1953	high school	1	nan
541	Mr Joshua Burgess	2001	Bachelor	0	nan
543	Mr Adam Lucas	1998	Bachelor	0	nan
546	Miss Sarah Huber	1986	less than high school	0	Birmingham
547	Mr Luis Orozco	2001	Bachelor	0	nan
549	Mr Richard Baker	1984	Bachelor	0	Birmingham
550	Miss Molly Mcdonald	1996	less than high school	0	Birmingham
551	Miss Nicole Scott	2006	Master	0	London
552	Miss Cynthia Little	1959	Bachelor	0	Birmingham
553	Mr Todd Smith	1994	high school	0	nan
554	Miss Wendy Miller	2005	less than high school	0	nan
556	Miss Ashley Leach	1999	high school	0	nan
558	Miss Michele Taylor	2002	Master	0	Birmingham
559	Miss Darlene Barnes	2004	Master	0	nan
560	Miss Emily Sanders	2000	Bachelor	0	nan
561	Miss Carol Hernandez	1973	Bachelor	0	Birmingham
563	Miss Ashley Patterson	1946	high school	0	London
564	Mr Brian James	2001	high school	0	nan
565	Miss Cynthia Williamson	2003	Bachelor	0	nan
566	Mr Jason Martin	2002	Bachelor	0	nan
568	Miss Meghan Martinez	2000	Bachelor	0	nan
569	Miss Jennifer Ibarra	1975	high school	1	nan
571	Miss Kathy Smith	2002	high school	0	nan
573	Miss Natasha Snyder	2005	PHD	0	Birmingham
574	Mr Tyrone Smith	1979	Bachelor	0	Birmingham
575	Miss Mary Davenport	2001	Master	0	nan
576	Miss Patricia Hernandez	1994	less than high school	0	London
577	Mr Victor Russell	1994	high school	0	London
578	Mr Brett Gonzalez	1997	Bachelor	0	Birmingham
579	Mr Roberto Richards	1999	Master	0	nan
580	Miss Mary Patterson	2003	Master	0	nan
582	Miss Teresa Crawford	1990	high school	0	nan
583	Miss Megan Ballard	1993	Master	0	London
584	Miss Sierra Campbell	1996	high school	1	Birmingham
585	Miss Laura Anderson	2002	high school	0	nan
586	Miss Michelle Brown	1996	high school	0	London
589	Miss Karen Parker	1999	high school	0	nan
590	Miss Lynn Olson	2000	high school	0	London
591	Miss Michelle Miranda	2002	high school	0	London
593	Miss Stephanie Friedman	2006	Bachelor	0	Birmingham
594	Miss Autumn Lynn	1978	Bachelor	2	nan
595	Miss Kelsey Coleman	1983	less than high school	0	Birmingham
596	Miss Lauren Brewer	1982	Master	0	Birmingham
597	Mr Nathan Watson	1967	Bachelor	0	Birmingham
598	Mr Michael Schmidt	2002	Master	0	London
599	Mr Anthony Torres	1993	Master	0	London
601	Mr Michael Wade	1961	PHD	0	Birmingham
602	Miss Patricia Gay	1996	PhD	1	Birmingham
603	Mr Anthony Ray	1974	Bachelor	0	Birmingham
605	Miss Shelly Harris	1996	high school	0	London
606	Mr Jeffrey Bell	1998	Bachelor	2	London
607	Miss Tiffany Parker	1948	Master	0	Birmingham
608	Mr Mark Mcmahon	1997	high school	0	London
610	Miss Stephanie Frederick	2005	Bachelor	0	London
611	Miss Courtney Price	1999	Bachelor	0	Birmingham
613	Miss Loretta Henry	1990	Bachelor	0	nan
614	Mr Anthony Miller	2001	Bachelor	0	Birmingham
615	Miss Nicole Smith	2003	high school	0	London
616	Miss Laura Torres	2003	Bachelor	0	Birmingham
617	Mr Blake Morgan	1994	Master	0	nan
618	Miss Jennifer Scott	1999	less than high school	0	Birmingham
620	Miss Rita Cohen	1944	high school	0	London
621	Miss Patricia Lopez	1994	high school	1	London
626	Miss Sarah Garcia	1993	Master	0	Birmingham
627	Mr Randall Brown	1990	high school	0	nan
628	Mr James Anderson	1965	PhD	0	nan
629	Mr Cameron Rosales	1969	high school	1	Birmingham
630	Miss Dawn Smith	1998	less than high school	1	nan
631	Miss Alicia Hill	1977	Master	0	Birmingham
632	Miss Victoria Allen	2005	high school	1	nan
633	Miss Gina Daniels	1996	less than high school	0	nan
637	Mr Adam Diaz	2000	high school	0	Birmingham
640	Miss Ashley Patel	1998	high school	0	nan
641	Mr Gerald Graves	2001	less than high school	1	London
642	Mr Jonathan Jones	1997	high school	0	Birmingham
643	Miss Joyce Phelps	1962	less than high school	1	nan
644	Mr Jonathan Gray	1981	Bachelor	0	London
646	Miss Madeline Reynolds	1955	less than high school	1	nan
647	Mr Steven Smith	2000	high school	0	Birmingham
648	Mr Antonio Sherman	1990	high school	0	nan
649	Mr Samuel Rubio	1996	Bachelor	0	Birmingham
653	Mr Kyle Case	1997	Bachelor	0	nan
654	Miss Donna Keller	1993	Master	0	nan
655	Mr Travis Ellison	1970	high school	0	nan
658	Mr Jeffrey Morris	2002	Bachelor	0	London
661	Mr Andrew Jenkins	2002	less than high school	0	nan
662	Mr Robert Ferguson	1996	high school	0	nan
664	Miss Lindsay Perry	1998	high school	0	nan
665	Miss Mary Taylor	2004	less than high school	0	nan
667	Miss Monique Zhang	1999	less than high school	0	Birmingham
668	Miss Elizabeth Mason	2002	high school	0	Birmingham
669	Miss Megan Villanueva	2003	Master	0	Birmingham
670	Miss Jillian Mcdonald	1961	high school	0	nan
671	Mr James Garrison	2003	less than high school	0	Birmingham
673	Mr Nicholas Rivers	2001	Bachelor	0	Birmingham
680	Mr Andrew Jackson	1956	Master	0	Birmingham
681	Mr Michael Harris	2002	high school	0	nan
682	Miss Mary Patterson	2002	less than high school	0	nan
684	Miss Lori Bennett	2003	less than high school	1	nan
685	Miss Amanda Hill	1995	high school	0	nan
689	Miss Wendy Snyder	1998	Bachelor	0	nan
691	Miss Sarah Allen	2000	less than high school	0	nan
692	Miss Kim Watkins	2004	Bachelor	0	nan
693	Miss Shannon Hansen	1984	high school	0	Birmingham
694	Mr Joshua Smith	2002	less than high school	0	nan
696	Miss Brittany Navarro	2004	Bachelor	0	London
697	Miss Sandra Griffin	2006	less than high school	1	nan
698	Miss Christine Smith	2006	high school	0	London
700	Miss Amanda Lambert	2002	high school	0	Birmingham
701	Mr Phillip Stewart	2000	Master	0	London
704	Mr Ryan Dean	1955	less than high school	0	nan
706	Miss Sharon Pena	1997	high school	1	Birmingham
707	Miss Alice Porter	1994	Master	1	London
709	Miss Madeline Lynch	1996	Bachelor	0	Birmingham
711	Miss Stephanie Brewer	2004	high school	0	nan
712	Miss Dominique Sexton	2000	high school	0	nan
714	Mr Jeffery Perry	1965	less than high school	0	nan
716	Miss Crystal Wright	2004	Master	1	nan
717	Miss Denise Morris	1977	high school	0	nan
718	Mr Adam Boyle	1987	high school	1	nan
720	Mr Anthony Bryant	2001	less than high school	0	Birmingham
721	Miss Heather Nichols	2000	high school	1	nan
722	Mr Kenneth Mason	1994	high school	0	London
723	Mr Derrick Larsen	1956	Bachelor	0	Birmingham
724	Miss Catherine Garcia	1965	PhD	1	nan
726	Miss Linda Mendez	1950	Bachelor	0	London
727	Mr Matthew Taylor	1994	PhD	0	nan
729	Miss Valerie Gonzales	1987	less than high school	0	Birmingham
730	Mr Edward Lewis	1968	high school	0	London
732	Miss Christine Rangel	1999	Master	0	London
733	Miss Heather Williams	1990	PhD	0	Birmingham
734	Miss Holly James	1966	PhD	0	London
735	Mr Todd Moon	2000	high school	0	nan
736	Miss Diana Mcdaniel	1991	high school	0	nan
738	Mr John Copeland	2003	Bachelor	0	nan
741	Miss Vickie Johnson	2005	PhD	0	nan
742	Miss Colleen Underwood	1992	less than high school	0	nan
743	Miss Kaitlin Johnson	2000	Master	0	nan
745	Miss Catherine Cantu	1963	PhD	0	nan
746	Mr Andrew Wyatt	1959	high school	0	Birmingham
748	Miss Emily Martinez	1964	high school	0	nan
749	Miss Jasmine Buckley	1987	Bachelor	0	Birmingham
755	Miss Laurie Mcknight	1990	Master	0	London
756	Miss Elizabeth Day	2001	Bachelor	0	nan
758	Mr Mark Miller	1953	high school	0	nan
759	Miss Renee Mayer	2000	Bachelor	2	London
761	Mr Steven Walton	1997	High School	0	nan
765	Miss Ashley Clark	1993	less than high school	0	Birmingham
766	Miss Ashley Stephens	1994	Bachelor	0	London
767	Mr Nicholas Brooks	1993	high school	0	London
768	Mr Oscar Moody	2001	Bachelor	0	nan
769	Mr Mark Bautista	2002	high school	0	nan
770	Mr James Baker	2000	high school	0	Birmingham
771	Miss Shawna Mitchell	1992	Bachelor	1	nan
773	Miss Emily Mack	2000	high school	1	London
774	Mr Joel Gilbert	1988	high school	0	nan
775	Miss Denise Duncan	1966	high school	0	Birmingham
776	Miss Melanie Ward	1999	PhD	0	Birmingham
777	Mr Roy Davis	1994	high school	0	nan
780	Miss Jennifer Miller	1948	high school	0	nan
783	Miss Christie Long	2003	high school	0	nan
784	Mr Jay Munoz	1994	high school	0	nan
785	Mr Kenneth Oliver	1965	Master	0	nan
787	Miss Stephanie Brown	2001	high school	0	Birmingham
789	Miss Kylie Ford	1991	high school	0	Birmingham
790	Mr Timothy Martin	1967	Master	0	nan
791	Miss Linda Smith	1999	high school	0	nan
792	Miss Patricia Wilson	2001	high school	0	nan
793	Mr Edward Hill	2000	less than high school	0	nan
795	Miss Madison Johnson	1999	Master	0	Birmingham
797	Mr Lee Miles	1953	less than high school	1	Birmingham
798	Miss Christine Barron	1998	Master	0	Birmingham
799	Miss Emily Alvarado	1992	Bachelor	0	nan
800	Mr Jason King	1988	Master	1	nan
803	Miss Victoria Newton	1958	high school	0	Birmingham
804	Mr Michael Peterson	1959	PhD	0	Birmingham
805	Miss Melissa Byrd	2000	Master	0	Birmingham
806	Miss Laura Dunn	2001	high school	0	nan
807	Miss Cynthia Hernandez	1996	less than high school	0	London
808	Miss Sandra Bailey	2001	Master	0	nan
809	Mr William Spence	1998	Bachelor	0	Birmingham
812	Miss Rebecca Gardner	1995	Bachelor	0	London
813	Mr David Hardy	1986	high school	0	Birmingham
814	Miss Karen Burns	1986	Bachelor	0	nan
815	Mr Vincent Pace	2003	PHD	0	London
816	Miss Debbie Miller	1999	high school	0	nan
820	Miss Ashley Ramirez	2001	high school	0	London
822	Mr Stephen Henry	1993	less than high school	0	Birmingham
823	Miss Heather Hamilton	1954	high school	0	London
824	Mr Bradley Jackson	1987	Bachelor	0	nan
825	Miss Crystal Ortiz	1991	high school	0	Birmingham
827	Miss Kimberly Stout	2001	PhD	1	Birmingham
828	Miss Catherine Tyler	2002	Master	1	nan
830	Mr Adam Alvarez	1994	PhD	0	Birmingham
831	Mr Mark Hernandez	1998	Master	0	Birmingham
832	Miss Sara Benton	2003	high school	0	nan
833	Mr Richard Carter	1981	high school	1	nan
834	Miss Jacqueline Johnson	2002	high school	1	Birmingham
835	Mr Maurice Ryan	1954	high school	1	nan
838	Miss Anna Moore	1999	Master	0	Birmingham
841	Miss Kathleen Gray	2000	Master	0	nan
